paper_id,title,application_group,wp5_main_package,locked_ml_method_family,locked_specific_model,decision_supported,primary_method_family_id,primary_method_family,secondary_method_family_id,secondary_method_family,mapping_confidence,mapping_status,mapping_basis,ambiguity_note,quantitative_use,source_fields,wp9_8_r1_analysis_version,wp9_8_r1_review_item_id,wp9_8_r1_reviewer,wp9_8_r1_review_date,wp9_8_r1_evidence_locator,wp9_8_r1_source_workbook_sha256
TARGET_JointInversion2023_2022JB025372,Joint Inversion of Geophysical Data for Geologic Carbon Sequestration Monitoring: A Differentiable Physics-Informed Neural Network Model,"Monitoring, inversion and updating",P4_monitoring_mrv,physics-informed inversion,differentiable physics-informed neural network with Bayesian neural network parameters,update plume and saturation interpretation from joint geophysical monitoring,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,F2_physics_guided_informed,Physics-guided and physics-informed models,author_verified,author_verified_wp9_8_r1,主要推断角色是地震–电磁联合概率反演，故主类F5；可微岩石物理和正演约束是次要架构机制，保留F2。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M08,Yangqi Ma,2026-08-01,"PDF p. 1, Abstract; pp. 8–19, differentiable joint inversion and results",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
Tang2022_DLDataAssimilationForecasting,A deep learning-accelerated data assimilation and forecasting workflow for commercial-scale geologic carbon storage,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning surrogate plus ensemble data assimilation,wide residual network; residual U-Net; ES-MDA,rapid history matching and reservoir forecasting for commercial-scale storage management,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Tang2024_GNNFaulted,Learning CO2 plume migration in faulted reservoirs with graph neural networks,Storage dynamics and surrogates,P3_plume_trapping,graph neural network,GNN surrogate,forecast plume behavior under faulted-reservoir connectivity,F4_graph_connectivity_fault,Graph models for connectivity and faults,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Teng2024_LikelihoodFreeDA,Likelihood-free inference and hierarchical data assimilation for geological carbon storage,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning surrogate plus likelihood-free Bayesian inference,SMC-ABC; ESMDA; 3D recurrent R-U-Net surrogate,posterior forecasting and uncertainty reduction from dynamic monitoring-well data,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
VoThanh2026_DigitalTwinGNN,Toward Real-Time Digital Twins for CO2 Storage: Graph Neural Network Ensembles for Multi-physics Forecasting and Risk Quantification,"Leakage, wellbore and containment risk",P7_geomechanics_seal,graph neural network ensemble,GNN with MLP and CNN baselines,rapid scenario screening and monitoring-oriented risk forecasting,F7_digital_twin_monitoring_updated,Digital-twin or monitoring-updated systems,F4_graph_connectivity_fault,Graph models for connectivity and faults,author_verified,author_verified_wp9_8_r1,主要角色是面向快速更新和监测支持的数字孪生预测，故主类F7；显式邻接关系的GNN是次要架构特征，保留F4。,Resolved by signed WP9.8-R1 author review.,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,M09,Yangqi Ma,2026-08-01,"PDF pp. 1, 5–6, framework/split; pp. 21–22, digital-twin forecasts",3ece3b766ddcd28748301a1f3b894a6012dcf9d2a3a1aea810f645303c29e1fe
Wang2025_4DHistoryMatching,Deep learning framework for history matching CO2 storage with 4D seismic and monitoring well data,"Monitoring, inversion and updating",P4_monitoring_mrv,deep learning surrogate,deep learning surrogate + MCMC/history matching,update storage model and plume uncertainty from monitoring data,F5_probabilistic_generative_inversion,Probabilistic and generative inversion,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Wen2021_CCSNet,CCSNet: a deep learning modeling suite for CO2 storage,Storage dynamics and surrogates,P3_plume_trapping,CNN-based modeling suite,CNN-based modeling suite,saturation; pressure; trapping; sweep metrics,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Wen2021_PlumeDNN,Towards a predictor for CO2 plume migration using deep neural networks,Storage dynamics and surrogates,P3_plume_trapping,deep neural network,deep neural network plume predictor,rapid plume-migration forecasting for storage assessment,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Wen2022_UFNO,U-FNO: An enhanced Fourier neural operator-based deep-learning model for multiphase flow,Storage dynamics and surrogates,P3_plume_trapping,U-FNO,U-FNO,pressure buildup and gas saturation,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Wen2023_NestedFNO,Real-time high-resolution CO2 geological storage prediction using nested Fourier neural operators,Storage dynamics and surrogates,P3_plume_trapping,neural operator,nested Fourier neural operator,real-time high-resolution forecasting for storage screening and dynamic prediction,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Witte2023_WNO,Fast CO2 saturation simulations on large-scale geomodels with artificial intelligence-based Wavelet Neural Operators,Storage dynamics and surrogates,P3_plume_trapping,neural operator,Wavelet Neural Operator,rapid plume/saturation forecasting for storage scenario screening,F3_neural_operator_multifidelity,Neural operators and multi-fidelity surrogates,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Yan2021_RobustDLWorkflow,A robust deep learning workflow to predict multiphase flow behavior during geological CO2 sequestration injection and post-injection periods,Storage dynamics and surrogates,P3_plume_trapping,deep learning surrogate,robust deep learning workflow,rapid multiphase-flow behavior prediction for storage forecasting,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Yin2022_XAILeakage,De-risking geological carbon storage from high resolution time-lapse seismic to explainable leakage detection,"Leakage, wellbore and containment risk",P5_leakage_response,explainable deep learning classifier,deep neural network classifier with activation mapping,seismic leakage detection and explanation,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Zhang2021_LearningInversionFreeForecast,Accurate and Rapid Forecasts for Geologic Carbon Storage via Learning-Based Inversion-Free Prediction,Storage dynamics and surrogates,P3_plume_trapping,learning-based inverse-free prediction,learning-based inversion-free forecast model,rapid forecast generation for geological carbon storage assessment,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
Zhong2019_PressureAnomaly,A deep learning approach to anomaly detection in geological carbon sequestration sites using pressure measurements,"Leakage, wellbore and containment risk",P5_leakage_response,deep learning classifier,pressure-anomaly deep learning detector,flag pressure anomalies for leakage investigation,F1_unconstrained_data_driven,Unconstrained data-driven predictors,,,high,stable_for_synthesis,Principal inferential or decision role; architecture retained as secondary when the workflow is hybrid.,,descriptive primary-family crosswalk only; no maturity score changed,ml_method_family; specific_model; decision_supported; application_group; WP5 main package,WP9.8-R1-AUTHOR-VERIFIED-2026-08-01,,,,,
